version,timestamp,windows,mac,linux
"5.5.0",1588348801943,14610,13411,1238
"5.5.0-gm",1588348801943,602,379,70
"5.5.0-gm.2",1588348801943,3914,2370,83
"5.5.0",1588352401922,14740,13532,1247
"5.5.0-gm",1588352401922,602,379,70
"5.5.0-gm.2",1588352401922,3914,2370,83
"5.5.0",1588356001761,14871,13646,1258
"5.5.0-gm",1588356001761,602,379,70
"5.5.0-gm.2",1588356001761,3914,2370,83
"5.5.0",1588359601851,14988,13758,1268
"5.5.0-gm",1588359601851,602,379,70
"5.5.0-gm.2",1588359601851,3914,2370,83
"5.5.0",1588363201667,15104,13867,1276
"5.5.0-gm",1588363201667,602,379,70
"5.5.0-gm.2",1588363201667,3914,2370,83
"5.5.0",1588366801646,15217,13970,1288
"5.5.0-gm",1588366801646,602,379,70
"5.5.0-gm.2",1588366801646,3914,2370,83
"5.5.0",1588370401318,15336,14073,1296
"5.5.0-gm",1588370401318,602,379,70
"5.5.0-gm.2",1588370401318,3914,2370,83
"5.5.0",1588374001965,15456,14177,1308
"5.5.0-gm",1588374001965,602,379,70
"5.5.0-gm.2",1588374001965,3914,2370,83
"5.5.0",1588377601552,15567,14288,1315
"5.5.0-gm",1588377601552,602,379,70
"5.5.0-gm.2",1588377601552,3914,2370,83
"5.5.0",1588381201153,15679,14392,1321
"5.5.0-gm",1588381201153,602,379,70
"5.5.0-gm.2",1588381201153,3914,2370,83
"5.5.0",1588384801761,15790,14493,1330
"5.5.0-gm",1588384801761,602,379,70
"5.5.0-gm.2",1588384801761,3914,2370,83
"5.5.0",1588388401339,15905,14596,1334
"5.5.0-gm",1588388401339,602,379,70
"5.5.0-gm.2",1588388401339,3914,2370,83
"5.5.0",1588392001820,16019,14696,1338
"5.5.0-gm",1588392001820,602,379,70
"5.5.0-gm.2",1588392001820,3914,2370,83
"5.5.0",1588395601405,16139,14788,1341
"5.5.0-gm",1588395601405,602,379,70
"5.5.0-gm.2",1588395601405,3914,2370,83
"5.5.0",1588399202007,16240,14882,1347
"5.5.0-gm",1588399202007,602,379,70
"5.5.0-gm.2",1588399202007,3914,2370,83
"5.5.0",1588402801413,16343,14978,1355
"5.5.0-gm.2",1588402801413,3914,2370,83
"5.5.0-gm",1588402801413,602,379,70
"5.5.0",1588406402027,16453,15073,1361
"5.5.0-gm.2",1588406402027,3914,2370,83
"5.5.0-gm",1588406402027,602,379,70
"5.5.0",1588410001656,16561,15169,1365
"5.5.0-gm.2",1588410001656,3914,2370,83
"5.5.0-gm",1588410001656,602,379,70
"5.5.0",1588413601505,16674,15264,1371
"5.5.0-gm.2",1588413601505,3914,2370,83
"4.5.0-gm",1588413601505,602,379,70
